+----+-----------+----------+----------+-------------+--------+--------+----------+--------+--------+--------+-----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|    |           |   i      |   f      |   e         |   l    |   s    |   t      |   h    |   n    |   w    |   b       |   g    |   r    |   a    |   k    |   d    |   c    |   o    |   u    |   -    |   +    |   *    |   /    |   <    |   >    |   =       |   1    |   2    |   3    |   4    |   5    |   6    |   7    |   8    |   9    |   0    |
| 51 | T51       |    X     |    X     |    X        |    T52 |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 52 | T52       |    X     |    X     |    X        |    X   |    T53 |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 53 | T53       |    X     |    X     |    T54      |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 54 | *T54      |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 56 | *T1STE    |    T1STE |    T2T50 |    T3T26STE |    X   |    X   |    T7T46 |    X   |    X   |    T11 |    T16T21 |    X   |    X   |    STE |    X   |    X   |    T29 |    STE |    STE |    T37 |    T38 |    T39 |    T40 |    T41 |    T42 |    T43T44 |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |
| 57 | *T3T26STE |    T1STE |    T50   |    T3T26STE |    T4  |    X   |    T7T46 |    X   |    T27 |    T11 |    T16T21 |    X   |    X   |    STE |    X   |    X   |    T29 |    STE |    STE |    T37 |    T38 |    T39 |    T40 |    T41 |    T42 |    T43T44 |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |
| 58 | T7T46     |    X     |    X     |    X        |    X   |    X   |    X     |    T8  |    X   |    X   |    X      |    X   |    T47 |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 59 | T16T21    |    X     |    X     |    T17      |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    T22 |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 60 | *STE      |    T1STE |    T50   |    T3T26STE |    X   |    X   |    T7T46 |    X   |    X   |    T11 |    T16T21 |    X   |    X   |    STE |    X   |    X   |    T29 |    STE |    STE |    T37 |    T38 |    T39 |    T40 |    T41 |    T42 |    T43T44 |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |    STE |
| 61 | *T43T44   |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    T45    |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 62 | *T2T50    |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    T51 |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
| 63 | *X        |    X     |    X     |    X        |    X   |    X   |    X     |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X      |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |    X   |
+----+-----------+----------+----------+-------------+--------+--------+----------+--------+--------+--------+-----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
